172.16.100.57 - - [27/Apr/2016:16:43:03 +0100] "GET /FinalProjectSportingGood-v1/RemoveItemsServlet?orderID=69 HTTP/1.1" 302 -
172.16.100.57 - - [27/Apr/2016:16:43:03 +0100] "GET /FinalProjectSportingGood-v1/showCart HTTP/1.1" 200 3151
172.16.100.57 - - [27/Apr/2016:16:43:10 +0100] "GET /FinalProjectSportingGood-v1/AboutUs.jsp HTTP/1.1" 200 1446
172.16.100.57 - - [27/Apr/2016:16:43:17 +0100] "GET /FinalProjectSportingGood-v1/gear.jsp HTTP/1.1" 200 5989
172.16.100.57 - - [27/Apr/2016:16:43:18 +0100] "GET /FinalProjectSportingGood-v1/index.jsp HTTP/1.1" 200 3449
172.16.100.57 - - [27/Apr/2016:16:43:30 +0100] "POST /FinalProjectSportingGood-v1/searchServlet HTTP/1.1" 200 3477
172.16.100.57 - - [27/Apr/2016:16:43:49 +0100] "POST /FinalProjectSportingGood-v1/searchServlet HTTP/1.1" 200 3841
172.16.100.57 - - [27/Apr/2016:16:44:16 +0100] "GET /FinalProjectSportingGood-v1/gear.jsp HTTP/1.1" 200 5989
172.16.100.57 - - [27/Apr/2016:16:44:19 +0100] "GET /FinalProjectSportingGood-v1/ShowDetailsServelt?type=gear&pid=1 HTTP/1.1" 302 -
172.16.100.57 - - [27/Apr/2016:16:44:19 +0100] "GET /FinalProjectSportingGood-v1/Modal.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [27/Apr/2016:16:44:23 +0100] "GET /FinalProjectSportingGood-v1/index.jsp HTTP/1.1" 200 3513
172.16.100.57 - - [27/Apr/2016:16:44:34 +0100] "GET /FinalProjectSportingGood-v1/ShowDetailsServelt?type=gear&pid=1 HTTP/1.1" 302 -
172.16.100.57 - - [27/Apr/2016:16:44:34 +0100] "GET /FinalProjectSportingGood-v1/Modal.jsp HTTP/1.1" 200 852
172.16.100.57 - - [27/Apr/2016:16:44:45 +0100] "POST /FinalProjectSportingGood-v1/AddTocartServlet HTTP/1.1" 302 -
172.16.100.57 - - [27/Apr/2016:16:44:45 +0100] "GET /FinalProjectSportingGood-v1/Modal.jsp HTTP/1.1" 200 852
172.16.100.57 - - [27/Apr/2016:16:44:57 +0100] "POST /FinalProjectSportingGood-v1/AddTocartServlet HTTP/1.1" 302 -
172.16.100.57 - - [27/Apr/2016:16:44:57 +0100] "GET /FinalProjectSportingGood-v1/Modal.jsp HTTP/1.1" 200 852
172.16.100.57 - - [27/Apr/2016:16:45:10 +0100] "GET /FinalProjectSportingGood-v1/showCart HTTP/1.1" 200 4764
172.16.100.57 - - [27/Apr/2016:16:45:38 +0100] "GET /FinalProjectSportingGood-v1/createProduct.jsp HTTP/1.1" 200 4555
0:0:0:0:0:0:0:1 - - [27/Apr/2016:16:45:39 +0100] "POST /FinalProjectSportingGood-v1/searchServlet HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [27/Apr/2016:16:45:39 +0100] "GET /FinalProjectSportingGood-v1/imageproduct/3.jpg HTTP/1.1" 304 -
